id,category,component,specification,qty,unit_price_dkk,supplier,part_number,notes
1,mcu,XIAO ESP32-C6,Thread+WiFi+BLE+Matter USB-C,2,80,"Mouser DK / Digi-Key / Elektor",113991138,"Buy 2x for backup"
2,actuator,Peristaltic pump 12V,~30 ml/min food-grade silicone tubing,1,150,"AliExpress DKL/XP-Pump",KPP-12V,"Kamoer or generic equivalent"
3,plumbing,Silicone tubing,4mm ID x 6mm OD food-grade 2m,1,30,"AliExpress / RS Components",,"Order extra for spares"
4,driver,MOSFET N-channel,IRLB8721 logic-level TO-220,5,10,"Mouser / Farnell",IRLB8721PBF,"Pack of 5 for spares"
5,driver,Schottky diode,1N5819 flyback,10,3,"Mouser / RS",1N5819,"Pack of 10"
6,passive,Resistor 10k ohm,1/4W carbon film for gate pulldown,10,1,"Conrad / local",,"Mixed pack"
7,sensor,Capacitive soil moisture v2.0,DFRobot-type corrosion resistant analog,2,40,"AliExpress",,"2x for spare/calibration"
8,sensor,DFRobot Gravity water level,Capacitive strip ~5cm analog out,1,90,"RobotShop EU / Mouser",SEN0204,"Graduated 0-100%"
9,sensor,Float switch mini,Vertical plastic NO 5V,1,25,"AliExpress / Conrad",,"Hardware fail-safe low-water cutoff"
10,sensor,HX711 ADC module,24-bit ADC for load cell,1,15,"AliExpress / Conrad",HX711,"OPTIONAL - only needed for orchid (DETECT_WEIGHT) profile"
11,sensor,Bar load cell 5kg,Strain gauge bar-type,1,50,"AliExpress / Sparkfun",TAL220-5kg,"OPTIONAL - 5kg covers orchid + succulent. Skip for Monstera/large plants (uses moisture only)"
12,power,USB-C PD trigger board,ZY12PDN adjustable 5/9/12/15/20V,1,30,"AliExpress",ZY12PDN,"Set to 12V via solder pad"
13,power,Buck converter 12V to 5V,MP1584 adjustable max 3A,1,15,"AliExpress",MP1584,"Set with trimpot"
14,power,USB-C PD adapter,min 30W 12V capable,1,200,"Existing (Apple/Anker)",,"Reuse existing if available"
15,led,WS2812 LED,Single RGB 5V,1,5,"AliExpress / Pimoroni",,"Or 2x regular LED + resistor"
16,input,Tactile button,6x6mm with cap,1,3,"Conrad",,"Manual pump trigger"
17,connector,JST-XH connector kit,2/3/4-pin assortment,1,50,"AliExpress","XH-2.54","Sensor cables"
18,proto,Stripboard,7x9cm,1,20,"Conrad",,"For v1 soldered prototype"
19,wire,Silicone wire 22AWG,Red/black/yellow ~2m each color,1,40,"AliExpress",,"Flexible for vibration"
20,fastener,M3 brass heat-set inserts,M3x5mm pack 50,1,50,"AliExpress",,"3D-print assembly"
21,fastener,M3 bolts,8/12/16mm stainless assortment,1,50,"Local hardware store",,"Stainless preferred"
22,seal,O-ring or EPDM foam strip,2mm thickness,1,40,"Local plumbing / AliExpress",,"Electronics base gasket"
23,seal,PG7 cable gland,Waterproof feed-through,3,15,"Conrad / AliExpress","PG7","USB-C + sensor cable entries"
24,filament,PETG filament,1kg food-neutral white or natural,1,150,"3djake.dk / Prusa Polymers",,"Water-contact parts"
25,filament,TPU filament 90A,250g for gaskets,1,120,"3djake.dk",,"Optional - can substitute silicone"
26,plumbing,Wick cord cotton/nylon,4mm braided 2m roll,1,20,"AliExpress / craft store",,"OPTIONAL - for wick bottom-watering on African Violet/Peace Lily/Calathea. See ADR 006"
